City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,Tuatapere,-46.1333,167.6833,51.73,89,100,6.42,NZ,2022-04-26 16:42:10
212,Griffith,41.5284,-87.4237,44.31,61,100,12.66,US,2022-04-26 16:42:10
213,Iqaluit,63.7506,-68.5145,1.13,64,20,10.36,CA,2022-04-26 16:42:10
214,Mitsamiouli,-11.3847,43.2844,81.12,79,52,6.04,KM,2022-04-26 16:42:11
215,Pundaguitan,6.3711,126.1689,81.86,79,100,9.73,PH,2022-04-26 16:42:11
216,Valparaiso,-33.0393,-71.6273,59.47,94,100,17.27,CL,2022-04-26 16:42:11
217,Rotherham,53.4301,-1.3568,56.05,61,97,8.52,GB,2022-04-26 16:42:05
218,Saint-Francois,46.4154,3.9054,64.67,36,0,5.75,FR,2022-04-26 16:42:12
219,Husavik,66.0449,-17.3389,41.22,85,100,3.06,IS,2022-04-26 16:42:12
220,Rudnogorsk,57.2639,103.7519,32.22,95,100,10.42,RU,2022-04-26 16:42:12
221,Wanaka,-44.7,169.15,40.1,87,0,1.99,NZ,2022-04-26 16:42:13
222,Milkovo,54.7167,158.6167,26.6,86,23,3.06,RU,2022-04-26 16:42:13
223,Ilam,26.9167,87.9167,68.29,61,3,7.54,NP,2022-04-26 16:42:13
224,Kawalu,-7.3817,108.2082,74.86,96,100,1.5,ID,2022-04-26 16:42:14
225,Ostuacan,17.4167,-93.3,84.24,58,21,5.21,MX,2022-04-26 16:42:14
226,Terra Santa,-2.1042,-56.4869,84.42,76,77,4.79,BR,2022-04-26 16:42:14
227,Dingle,10.9995,122.6711,78.4,86,100,6.38,PH,2022-04-26 16:43:14
228,Luderitz,-26.6481,15.1594,66.25,52,0,11.72,NA,2022-04-26 16:43:15
229,Lincoln,40.8,-96.667,64.13,27,0,10.0,US,2022-04-26 16:43:15
230,Khatanga,71.9667,102.5,10.99,94,100,6.29,RU,2022-04-26 16:43:15
231,Waingapu,-9.6567,120.2641,76.1,71,99,4.52,ID,2022-04-26 16:43:16
232,Samana,19.2056,-69.3369,84.42,74,40,9.22,DO,2022-04-26 16:43:16
233,Thunder Bay,48.4001,-89.3168,25.29,79,100,9.22,CA,2022-04-26 16:42:39
234,Sept-Iles,50.2001,-66.3821,37.06,96,100,11.5,CA,2022-04-26 16:43:02
235,North Platte,41.1239,-100.7654,64.11,26,0,18.99,US,2022-04-26 16:42:23
236,Hambantota,6.1241,81.1185,81.61,79,20,1.25,LK,2022-04-26 16:43:16
237,Ixtapa,20.7,-105.2,88.0,32,0,6.22,MX,2022-04-26 16:43:17
238,Ploemeur,47.7333,-3.4333,65.82,45,0,10.36,FR,2022-04-26 16:43:17
239,Sao Filipe,14.8961,-24.4956,76.17,68,45,12.06,CV,2022-04-26 16:43:17
240,La Palma,33.8464,-118.0467,78.49,60,75,5.75,US,2022-04-26 16:43:18
241,Houma,29.5958,-90.7195,75.99,73,100,12.66,US,2022-04-26 16:40:03
242,Galesong,-5.3166,119.3661,77.02,80,97,4.18,ID,2022-04-26 16:43:18
243,Kolyshley,52.7005,44.5367,62.94,66,18,8.01,RU,2022-04-26 16:43:18
244,Cherskiy,68.75,161.3,23.76,83,100,5.75,RU,2022-04-26 16:43:19
245,Sistranda,63.7256,8.834,39.16,54,90,13.78,NO,2022-04-26 16:43:19
246,Nileshwar,12.25,75.1,83.86,76,9,4.05,IN,2022-04-26 16:43:19
247,Hue,16.4667,107.6,82.51,74,20,2.3,VN,2022-04-26 16:43:19
248,Borovichi,58.3878,33.9155,42.04,91,66,4.74,RU,2022-04-26 16:43:20
249,Nouadhibou,20.931,-17.0347,71.58,64,0,21.85,MR,2022-04-26 16:43:20
250,El Tigre,8.8875,-64.2454,86.92,51,98,5.86,VE,2022-04-26 16:43:20
251,Vao,-22.6667,167.4833,73.71,65,100,19.13,NC,2022-04-26 16:43:21
252,Hamilton,39.1834,-84.5333,51.89,62,100,12.66,US,2022-04-26 16:38:59
253,Haverhill,42.7762,-71.0773,58.08,69,100,10.36,US,2022-04-26 16:42:31
254,Broome,42.2506,-75.833,57.42,83,100,4.61,US,2022-04-26 16:43:21
255,Do Gonbadan,30.3586,50.7981,77.09,31,40,2.3,IR,2022-04-26 16:43:21
256,Narsaq,60.9167,-46.05,39.42,83,100,2.19,GL,2022-04-26 16:43:22
257,Antalaha,-14.9003,50.2788,74.07,82,40,5.88,MG,2022-04-26 16:43:22
258,Ozark,37.0209,-93.206,58.57,38,0,3.0,US,2022-04-26 16:43:22
259,Tura,25.5198,90.2201,74.64,74,0,4.81,IN,2022-04-26 16:43:23
260,Ibra,22.6906,58.5334,85.96,28,56,10.29,OM,2022-04-26 16:43:23
261,Esperance,-33.8667,121.9,58.84,62,22,10.07,AU,2022-04-26 16:43:23
262,Khuzdar,27.7384,66.6434,83.91,11,29,4.79,PK,2022-04-26 16:43:23
263,Plettenberg Bay,-34.0527,23.3716,57.94,82,1,5.41,ZA,2022-04-26 16:43:24
264,Acajutla,13.5928,-89.8275,87.82,56,43,6.82,SV,2022-04-26 16:43:24
265,Chara,56.9064,118.2631,20.03,65,48,2.35,RU,2022-04-26 16:43:24
266,Chipata,-13.6333,32.65,66.69,78,75,6.87,ZM,2022-04-26 16:43:25
267,Taunusstein,50.15,8.15,49.82,89,75,4.61,DE,2022-04-26 16:43:25
268,Kangaatsiaq,68.3065,-53.4641,32.41,90,100,7.27,GL,2022-04-26 16:43:25
269,Coos Bay,43.3665,-124.2179,53.31,96,75,9.22,US,2022-04-26 16:43:25
270,Thaba-Tseka,-29.522,28.6084,43.2,39,0,5.44,LS,2022-04-26 16:43:26
271,Mehamn,71.0357,27.8492,19.35,68,75,25.32,NO,2022-04-26 16:43:26
272,Luena,-11.7833,19.9167,69.98,63,97,2.55,AO,2022-04-26 16:43:26
273,Bud,39.447,-86.1758,50.68,67,25,12.21,US,2022-04-26 16:43:27
274,Sorland,67.667,12.6934,31.86,54,100,20.58,NO,2022-04-26 16:44:27
275,Isangel,-19.55,169.2667,74.46,65,100,12.86,VU,2022-04-26 16:44:27
276,Awbari,26.5921,12.7805,93.76,5,100,7.67,LY,2022-04-26 16:44:28
277,Stolin,51.8912,26.846,49.51,77,98,4.72,BY,2022-04-26 16:44:28
278,Sola,-13.8833,167.55,81.18,74,97,18.48,VU,2022-04-26 16:44:28
279,Tiznit,29.5833,-9.5,62.71,44,0,13.02,MA,2022-04-26 16:44:29
280,Saldanha,-33.0117,17.9442,66.25,76,0,18.63,ZA,2022-04-26 16:44:29
281,Portland,45.5234,-122.6762,52.77,77,75,11.99,US,2022-04-26 16:41:10
282,Yatou,37.15,122.3833,53.8,36,22,13.73,CN,2022-04-26 16:44:29
283,Salyan,39.5936,48.9805,63.73,52,85,5.97,AZ,2022-04-26 16:44:30
284,Oum Hadjer,13.2954,19.6966,100.04,17,93,5.44,TD,2022-04-26 16:44:30
285,Hongjiang,27.11,109.9956,70.32,98,74,2.44,CN,2022-04-26 16:44:30
286,Ola,59.5833,151.2833,25.14,71,100,7.36,RU,2022-04-26 16:44:30
287,Avera,33.194,-82.5271,82.54,45,0,9.91,US,2022-04-26 16:44:31
288,San Policarpo,12.1791,125.5072,80.98,85,100,8.88,PH,2022-04-26 16:44:31
289,Maues,-3.3836,-57.7186,85.66,68,87,4.92,BR,2022-04-26 16:44:16
290,Dawson,31.7735,-84.4466,83.62,49,2,8.03,US,2022-04-26 16:44:31
291,Chuzhou,32.3219,118.2978,65.95,85,100,6.38,CN,2022-04-26 16:44:32
292,Mount Gambier,-37.8333,140.7667,60.71,77,100,9.22,AU,2022-04-26 16:44:32
293,Mayo,38.8876,-76.5119,71.26,85,100,5.75,US,2022-04-26 16:43:28
