City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
472,Sonoita,MX,83.48,80,31.85,-112.8333,Hotel internacional
475,Vila Velha,BR,85.95,20,-20.3297,-40.2925,Hotel Vitória Palace
477,Port Shepstone,ZA,65.3,0,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
480,Ampanihy,MG,76.03,100,-24.7,44.75,Angora Hotel
482,Seoul,KR,65.59,0,37.5683,126.9778,롯데호텔 서울
483,Lixourion,GR,69.8,0,38.2019,20.4314,Hotel Summery
485,Rosetta,EG,65.5,99,31.4044,30.4164,Green Valley
486,Zaltan,LY,67.71,58,32.947,11.8665,زلطن الشرقية
487,Sechura,PE,78.85,11,-5.5569,-80.8222,Hospedaje Costa Bella
488,Coronado,US,82.0,75,32.6859,-117.1831,Hilton San Diego Bayfront
489,Camopi,GF,83.32,80,3.1655,-52.3158,La pousada
491,Tingo Maria,PE,80.91,75,-9.2895,-76.0088,Hospedaje Paraíso
493,Panorama,GR,69.33,20,40.5878,23.0315,Panorama Hotel
496,Sao Miguel Do Araguaia,BR,88.97,4,-13.275,-50.1628,Hotel Executivo Palace
498,Buala,SB,79.74,55,-8.145,159.5921,Maringe Lagoon Lodge
501,Hope Mills,US,84.49,75,34.9704,-78.9453,"Holiday Inn Express & Suites Hope Mills-Fayetteville Arpt, an IHG Hotel"
502,Marsh Harbour,BS,75.16,37,26.5412,-77.0636,Abaco Beach Resort
503,Forio,IT,68.29,0,40.7342,13.8646,Hotel Terme Providence
504,Puerto Narino,CO,83.03,97,-3.7703,-70.3831,Eware Refugio Amazonico
506,Jarwal,IN,91.0,0,27.1667,81.55,New kisaan fish forming
507,Omboue,GA,80.64,100,-1.5746,9.2618,Hotel Olako
509,Lorengau,PG,81.57,22,-2.0226,147.2712,Lorengau Harbourside Hotel
510,Tahta,EG,92.16,4,26.7693,31.5021,فندق الزيات
512,Bilma,NE,99.93,0,18.6853,12.9164,Expeditions Ténére voyages
520,Abu Dhabi,AE,87.91,100,24.4667,54.3667,Beach Rotana
522,Abomey-Calavi,BJ,85.86,40,6.4485,2.3557,Miras Hôtel
527,Rondonopolis,BR,94.35,19,-16.4708,-54.6356,Serras Hotel
530,Chokwe,MZ,67.78,38,-24.5333,32.9833,Complexo Sonho Real
533,Itoman,JP,79.57,100,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
534,Bitung,ID,77.85,92,1.4451,125.1824,K2 Lembeh
535,Bathsheba,BB,77.61,75,13.2167,-59.5167,Atlantis Hotel
537,Abong Mbang,CM,74.89,71,3.9833,13.1833,Auberge Angle Sur
540,Emerald,AU,69.94,100,-23.5333,148.1667,The Irish Village
541,Pahrump,US,81.25,28,36.2083,-115.9839,Best Western Pahrump Oasis
542,Calabar,NG,82.4,92,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
544,Saint-Joseph,RE,72.21,22,-21.3667,55.6167,"""Plantation Bed and Breakfast"
545,San Antonio,US,69.12,100,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
547,Maningrida,AU,78.19,79,-12.0667,134.2667,Dhukurrdji Lodge
549,Mar Del Plata,AR,68.02,100,-38.0023,-57.5575,Gran Hotel Mar del Plata
550,Rio Grande,BR,82.51,92,-32.035,-52.0986,Hotel Atlântico Rio Grande
552,Wahiawa,US,68.86,100,21.5028,-158.0236,The Inn At Schofield
554,Pemba,MZ,83.1,20,-12.974,40.5178,Guesthouse Samotina
556,Manakara,MG,75.15,6,-22.1333,48.0167,La Residence Manakara
557,Mackay,AU,73.69,75,-21.15,149.2,International Lodge Motel
559,Amuntai,ID,75.22,97,-2.4177,115.2494,Hotel Balqis
560,Diamantino,BR,93.16,5,-14.4086,-56.4461,Hotel Delta
566,Vicksburg,US,69.48,0,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
568,Moron,AR,73.02,99,-34.6534,-58.6198,Hotel Morón
569,Teknaf,BD,78.78,3,20.8624,92.3058,Forestry Guesthouse
570,Santo Domingo,DO,85.64,40,18.5001,-69.9886,Cabañas City Heart
571,Cruzeiro Do Sul,BR,77.07,99,-29.5128,-51.9853,Estrela Palace Hotel
572,Jalu,LY,89.94,37,29.0331,21.5482,صاحبة الفخامة
574,Namatanai,PG,80.35,20,-3.6667,152.4333,Seagulls Inn Namatani
575,Puerto Baquerizo Moreno,EC,77.99,20,-0.9,-89.6,Hotel los Algarrobos
